,id1,id2,func,type,train
163,7003180,23677226,44,0,0
163,13839383,23677226,44,4,1
164,11939522,23677135,7,4,1
164,7171043,23677226,44,0,1
164,5805315,23677157,13,0,1
165,6036290,23677155,13,0,0
165,8972525,23677226,44,0,1
166,9883524,23677156,13,4,1
166,6036290,23677156,13,0,1
166,9755673,23677226,44,0,0
167,9755676,23677226,44,0,1
167,6036290,23677157,13,0,1
168,6310113,23677155,13,0,1
168,10067401,23677226,44,0,1
169,6310113,23677156,13,0,1
169,10067402,23677226,44,0,1
170,6310113,23677157,13,0,0
170,10067404,23677226,44,0,0
171,52273,23677136,7,0,1
171,4490317,23677156,13,4,1
171,11560330,23677226,44,0,1
171,6353292,23677155,13,0,1
172,11560331,23677226,44,0,0
172,6353292,23677156,13,0,0
173,6353292,23677157,13,0,1
173,11674438,23677226,44,0,0
174,11976309,23677226,44,0,0
175,12453210,23677226,44,0,0
175,6416636,23677156,13,0,1
175,10868405,23677156,13,4,1
176,6416636,23677157,13,0,1
176,13179361,23677226,44,0,1
177,6476018,23677155,13,0,0
177,13179373,23677226,44,0,1
178,13179374,23677226,44,0,1
178,6476018,23677156,13,0,0
179,6476018,23677157,13,0,1
179,13839382,23677226,44,0,0
180,6482417,23677155,13,0,1
180,13839384,23677226,44,0,1
181,6482417,23677156,13,0,1
181,14321901,23677226,44,0,0
182,6482417,23677157,13,0,1
182,14321903,23677226,44,0,0
183,6501588,23677155,13,0,1
183,7670209,23677156,13,4,1
183,14321904,23677226,44,0,0
184,6501588,23677156,13,0,1
184,6088697,17621070,13,4,1
184,14321905,23677226,44,0,1
185,6501588,23677157,13,0,1
185,14357839,23677226,44,0,1
186,6944380,23677155,13,0,1
186,14357855,23677226,44,0,1
187,14357856,23677226,44,0,1
187,6944380,23677156,13,0,1
188,6944380,23677157,13,0,1
188,15588498,23677226,44,0,0
189,16152855,23677226,44,0,0
189,6088697,7079645,13,4,1
189,6979194,23677155,13,0,0
190,16491811,23677226,44,0,1
190,6979194,23677156,13,0,0
191,16491812,23677226,44,0,1
192,16896239,23677226,44,0,1
192,7106275,23677155,13,0,1
193,7106275,23677156,13,0,1
193,16896240,23677226,44,0,1
194,16896241,23677226,44,0,0
194,7106275,23677157,13,0,1
195,7231842,23677155,13,0,0
195,18072334,23677226,44,0,1
196,7231842,23677156,13,0,1
196,18072335,23677226,44,0,0
197,18245809,23677226,44,0,1
197,7231842,23677157,13,0,1
198,7279295,23677155,13,0,0
198,18245810,23677226,44,0,1
199,7279295,23677156,13,0,0
199,18245811,23677226,44,0,1
200,7279295,23677157,13,0,1
200,18245812,23677226,44,0,1
201,7305283,23677155,13,0,1
201,19418632,23677226,44,0,0
202,19418633,23677226,44,0,1
202,7305283,23677156,13,0,0
203,19692114,23677226,44,0,1
203,7305283,23677157,13,0,1
204,19910710,23677226,44,0,1
205,7635076,23677156,13,0,1
205,6088697,20328640,13,4,1
205,20449037,23677226,44,0,1
206,2315719,6088697,13,4,0
206,7635076,23677157,13,0,1
206,20789654,23677226,44,0,1
207,21619743,23677226,44,0,1
207,55097,23677144,7,0,1
207,7899786,23677155,13,0,1
208,21665284,23677226,44,0,1
208,7899786,23677156,13,0,1
209,22174814,23677226,44,0,1
209,7899786,23677157,13,0,1
210,22820417,23677226,44,0,1
210,7981579,23677155,13,0,1
211,23355902,23677226,44,0,1
211,7981579,23677156,13,0,1
212,23355905,23677226,44,0,1
212,7981579,23677157,13,0,1
213,7986663,23677155,13,0,1
214,7986663,23677156,13,0,1
215,7986663,23677157,13,0,0
216,8001809,23677155,13,0,1
217,22486940,23677135,7,4,1
218,8001809,23677157,13,0,1
219,6088697,17621071,13,4,1
220,8008369,23677156,13,0,1
221,21273055,23677135,7,4,1
223,8206774,23677156,13,0,1
224,8206774,23677157,13,0,1
225,8227926,23677155,13,0,1
226,8227926,23677156,13,0,1
227,8227926,23677157,13,0,1
228,6088697,7839341,13,4,1
228,8498047,23677155,13,0,1
229,8498047,23677156,13,0,0
229,1721214,6088697,13,4,1
230,8498047,23677157,13,0,1
231,8682225,23677155,13,0,1
232,8682225,23677156,13,0,1
233,8682225,23677157,13,0,1
233,6088697,8586224,13,4,1
234,8811298,23677155,13,0,1
235,8811298,23677156,13,0,1
237,8896155,23677155,13,0,0
238,8896155,23677156,13,0,1
239,8896155,23677157,13,0,1
239,74585,23677134,7,0,1
240,8998440,23677155,13,0,1
241,8998440,23677156,13,0,1
242,6088697,6938966,13,4,0
242,74585,23677137,7,0,1
242,8998440,23677157,13,0,1
243,9414359,23677155,13,0,0
244,9414359,23677156,13,0,1
245,6088697,19654780,13,4,0
246,9414360,23677155,13,0,1
247,9414360,23677156,13,0,1
248,9414360,23677157,13,0,1
249,9414363,23677155,13,0,1
250,9414363,23677156,13,0,0
251,9414363,23677157,13,0,1
252,3894025,6088697,13,4,1
252,9414364,23677155,13,0,1
253,9414364,23677156,13,0,0
254,9414364,23677157,13,0,1
255,6088697,7848932,13,4,1
256,9414368,23677156,13,0,1
257,9414368,23677157,13,0,1
258,9414369,23677155,13,0,1
259,9414369,23677156,13,0,1
261,7079645,17621070,13,4,1
262,9479943,23677156,13,0,0
262,10496866,17621070,13,4,1
263,9479943,23677157,13,0,1
264,7357528,17621070,13,4,1
264,9598420,23677155,13,0,1
265,9598420,23677156,13,0,1
266,9598420,23677157,13,0,1
266,88342,23677133,7,0,0
267,9708818,23677155,13,0,1
268,521113,23677134,7,4,0
268,9708818,23677156,13,0,1
269,9708818,23677157,13,0,1
270,9708819,23677155,13,0,1
271,9708819,23677156,13,0,0
272,9708819,23677157,13,0,1
273,2315719,17621070,13,4,1
273,9708829,23677155,13,0,1
274,9708829,23677156,13,0,0
275,9708829,23677157,13,0,1
276,13912756,17621070,13,4,1
277,9900366,23677156,13,0,1
278,9900366,23677157,13,0,1
278,17510245,17621070,13,4,1
279,9210368,17621070,13,4,1
279,10048471,23677155,13,0,1
280,10048471,23677156,13,0,1
280,17621070,20740028,13,4,1
281,10048471,23677157,13,0,1
282,10056156,23677155,13,0,1
283,13160464,17621070,13,4,1
284,10056156,23677157,13,0,1
285,10163526,23677155,13,0,0
286,10163526,23677156,13,0,0
287,10163526,23677157,13,0,1
288,10274234,23677155,13,0,0
288,11205237,17621070,13,4,1
290,10274234,23677157,13,0,1
290,1721214,17621070,13,4,1
291,9883524,17621070,13,4,1
291,10275021,23677155,13,0,0
293,10275021,23677157,13,0,1
294,10489284,23677155,13,0,1
295,13088707,17621070,13,4,1
296,10489284,23677157,13,0,1
297,10685284,23677155,13,0,0
298,10685284,23677156,13,0,1
299,17583188,23677134,7,4,1
299,10685284,23677157,13,0,1
300,10816274,23677155,13,0,1
300,17621070,19076717,13,4,1
302,10816274,23677157,13,0,1
303,22307690,23677134,7,4,1
303,10829219,23677155,13,0,1
304,10829219,23677156,13,0,1
305,10829219,23677157,13,0,0
306,3338750,23677134,7,4,1
306,10856256,23677155,13,0,0
307,10856256,23677156,13,0,1
308,119525,23677133,7,0,1
308,10856256,23677157,13,0,0
309,10969249,23677155,13,0,1
310,10969249,23677156,13,0,1
310,1313371,17621070,13,4,0
311,10969249,23677157,13,0,1
312,11039579,23677155,13,0,0
313,11039579,23677156,13,0,1
313,5172908,17621070,13,4,1
314,7848932,17621070,13,4,1
315,11051820,23677155,13,0,1
316,11051820,23677156,13,0,1
317,11051820,23677157,13,0,1
318,3596828,19119522,13,4,1
318,11071921,23677155,13,0,0
319,11071921,23677156,13,0,1
320,7079645,19119522,13,4,1
320,11071921,23677157,13,0,0
321,10496866,19119522,13,4,1
321,11191280,23677155,13,0,1
322,11191280,23677156,13,0,1
323,11191280,23677157,13,0,1
324,11205537,23677155,13,0,1
325,11205537,23677156,13,0,1
326,11205537,23677157,13,0,1
327,11256091,23677155,13,0,1
329,11256091,23677157,13,0,1
329,2423912,19119522,13,4,1
330,11355676,23677155,13,0,1
330,966813,19119522,13,4,0
331,11355676,23677156,13,0,1
332,11355676,23677157,13,0,1
332,6622146,23677134,7,4,1
332,13088706,19119522,13,4,1
334,10258420,19119522,13,4,0
336,11372483,23677155,13,0,1
336,19119522,20328640,13,4,1
337,11372483,23677156,13,0,1
338,11372483,23677157,13,0,1
340,13912756,19119522,13,4,0
340,11658920,23677156,13,0,1
341,11658920,23677157,13,0,1
342,11866074,23677155,13,0,1
343,127080,23677140,7,0,1
343,17510245,19119522,13,4,0
343,11866074,23677156,13,0,1
344,11866074,23677157,13,0,1
344,9210368,19119522,13,4,1
345,11866933,23677155,13,0,1
346,11866933,23677156,13,0,1
348,5226973,19119522,13,4,1
348,12409601,23677155,13,0,1
349,12409601,23677156,13,0,1
350,12409601,23677157,13,0,1
351,12628703,23677155,13,0,1
352,19119522,22648484,13,4,1
352,12628703,23677156,13,0,0
353,12628703,23677157,13,0,1
353,21273055,23677134,7,4,0
354,133091,23677137,7,0,0
354,12750603,23677155,13,0,1
354,7436917,19119522,13,4,0
355,12750603,23677156,13,0,1
356,426940,531920,44,4,1
356,12750603,23677157,13,0,1
357,12831746,23677155,13,0,1
357,11205237,19119522,13,4,1
358,12831746,23677156,13,0,0
359,7839341,19119522,13,4,1
359,12831746,23677157,13,0,0
360,12834346,23677155,13,0,1
360,1721214,19119522,13,4,0
361,12834346,23677156,13,0,1
361,11371499,23677134,7,4,1
362,12834346,23677157,13,0,1
363,12883936,23677155,13,0,1
364,12883936,23677156,13,0,0
364,426940,590962,44,4,1
365,12883936,23677157,13,0,0
366,12999076,23677155,13,0,1
367,12999076,23677156,13,0,1
368,12999076,23677157,13,0,1
369,13146082,23677155,13,0,1
369,426940,23355904,44,4,1
369,8533735,19119522,13,4,1
370,13146082,23677156,13,0,1
372,13281621,23677155,13,0,0
374,13281621,23677157,13,0,1
374,6938966,19119522,13,4,0
375,13431733,23677155,13,0,1
376,13431733,23677156,13,0,1
376,426940,8972522,44,4,1
377,13431733,23677157,13,0,1
378,13621015,23677155,13,0,0
378,10868405,19119522,13,4,1
379,13621015,23677156,13,0,0
380,13621015,23677157,13,0,1
381,13913361,23677155,13,0,1
382,13913361,23677156,13,0,1
384,14015068,23677155,13,0,1
385,13295656,23677145,7,4,0
385,14015068,23677156,13,0,1
386,14015068,23677157,13,0,0
386,5172908,19119522,13,4,1
387,14121891,23677155,13,0,1
387,7848932,19119522,13,4,1
388,14121891,23677156,13,0,1
389,426940,10067403,44,4,1
389,14121891,23677157,13,0,1
390,14259881,23677155,13,0,1
391,14259881,23677156,13,0,1
393,14416348,23677155,13,0,1
394,14416348,23677156,13,0,1
395,14416348,23677157,13,0,0
396,11261440,23677145,7,4,0
396,426940,22060129,44,4,0
397,14485003,23677156,13,0,1
398,14485003,23677157,13,0,1
399,14574135,23677155,13,0,1
400,136941,426940,44,4,1
401,14574135,23677157,13,0,1
402,14744159,23677155,13,0,1
403,14744159,23677156,13,0,1
405,14809923,23677155,13,0,1
406,14809923,23677156,13,0,1
407,14809923,23677157,13,0,0
407,426940,4758170,44,4,1
408,14823678,23677155,13,0,1
409,14823678,23677156,13,0,1
410,14823678,23677157,13,0,1
411,15066658,23677155,13,0,1
412,15066658,23677156,13,0,1
413,17630906,23677145,7,4,1
413,15066658,23677157,13,0,1
415,15102847,23677156,13,0,1
416,15102847,23677157,13,0,0
417,15294077,23677155,13,0,1
418,15294077,23677156,13,0,1
419,15294077,23677157,13,0,0
420,15375607,23677155,13,0,1
421,195722,23677134,7,0,1
421,15375607,23677156,13,0,0
422,15375607,23677157,13,0,1
423,15564158,23677155,13,0,1
424,15564158,23677156,13,0,1
425,15564158,23677157,13,0,1
426,15666494,23677155,13,0,1
428,426940,3868943,44,4,1
430,16136108,23677156,13,0,1
431,16136108,23677157,13,0,1
433,426940,4128381,44,4,1
433,16204711,23677156,13,0,0
434,16204711,23677157,13,0,1
435,16216215,23677155,13,0,1
436,16216215,23677156,13,0,0
437,16216215,23677157,13,0,1
438,16442937,23677155,13,0,1
439,16442937,23677156,13,0,1
440,16442937,23677157,13,0,1
441,16451700,23677155,13,0,1
442,16451700,23677156,13,0,1
443,16451700,23677157,13,0,1
444,16914987,23677155,13,0,1
445,426940,16152856,44,4,1
446,16914987,23677157,13,0,1
446,196992,23677145,7,0,1
447,426940,4328782,44,4,1
447,17048141,23677155,13,0,0
448,17048141,23677156,13,0,1
449,17048141,23677157,13,0,0
450,17057125,23677155,13,0,1
451,17057125,23677156,13,0,1
451,426940,9755674,44,4,1
453,4860089,23677145,7,4,1
453,17498236,23677155,13,0,1
454,17498236,23677156,13,0,1
455,17498236,23677157,13,0,1
456,17624942,23677155,13,0,0
457,17624942,23677156,13,0,1
457,426940,950313,44,4,1
459,17641541,23677155,13,0,0
460,17641541,23677156,13,0,1
461,17641541,23677157,13,0,1
462,17800886,23677155,13,0,1
462,7079645,17621072,13,4,0
463,10496866,17621072,13,4,1
463,17800886,23677156,13,0,1
464,17800886,23677157,13,0,0
465,17989783,23677155,13,0,1
466,17989783,23677156,13,0,1
466,7357528,17621072,13,4,1
468,18088116,23677155,13,0,0
469,18088116,23677156,13,0,0
470,18088116,23677157,13,0,1
471,18357814,23677155,13,0,1
472,18357814,23677156,13,0,1
473,18357814,23677157,13,0,1
475,18422684,23677156,13,0,0
476,18422684,23677157,13,0,1
476,17621072,20328638,13,4,0
477,18515074,23677155,13,0,1
478,18515074,23677156,13,0,1
479,18515074,23677157,13,0,0
479,17621072,19654781,13,4,1
479,10174628,23677145,7,4,1
480,18570252,23677155,13,0,1
481,18570252,23677156,13,0,1
481,17510245,17621072,13,4,1
482,18570252,23677157,13,0,1
483,18758340,23677155,13,0,1
484,5936119,17621072,13,4,1
484,426940,13839383,44,4,1
484,18758340,23677156,13,0,1
485,5226973,17621072,13,4,1
485,18758340,23677157,13,0,1
486,10598170,23677145,7,4,1
486,19137253,23677155,13,0,1
487,19137253,23677156,13,0,1
489,19406526,23677155,13,0,0
490,19406526,23677156,13,0,1
491,2086684,23677145,7,4,1
491,19406526,23677157,13,0,1
492,19466131,23677155,13,0,1
493,19466131,23677156,13,0,1
494,19466131,23677157,13,0,1
495,19569166,23677155,13,0,0
496,19569166,23677156,13,0,0
497,19569166,23677157,13,0,1
498,19752106,23677155,13,0,1
499,19752106,23677156,13,0,0
501,19828158,23677155,13,0,1
502,19828158,23677156,13,0,1
503,19828158,23677157,13,0,1
503,4490317,17621072,13,4,1
504,17621072,19076717,13,4,1
504,19862707,23677155,13,0,1
506,19862707,23677157,13,0,0
506,17621072,20328639,13,4,1
507,20010244,23677155,13,0,0
508,20010244,23677156,13,0,0
509,20010244,23677157,13,0,1
510,20027640,23677155,13,0,1
510,3596849,17621072,13,4,0
512,20027640,23677157,13,0,1
512,17621072,22181822,13,4,1
513,20253121,23677155,13,0,1
513,8359775,23677144,7,4,1
514,20253121,23677156,13,0,1
514,215863,23677143,7,0,1
515,20253121,23677157,13,0,1
516,20277574,23677155,13,0,1
517,20277574,23677156,13,0,1
518,20277574,23677157,13,0,1
519,20336961,23677155,13,0,1
520,20336961,23677156,13,0,1
521,20336961,23677157,13,0,1
522,20387184,23677155,13,0,1
523,216311,23677138,7,0,1
523,20387184,23677156,13,0,0
524,20387184,23677157,13,0,1
525,20387187,23677155,13,0,1
526,20387187,23677156,13,0,1
527,20387187,23677157,13,0,1
528,20635236,23677155,13,0,1
529,20635236,23677156,13,0,1
530,20635236,23677157,13,0,1
531,20765197,23677155,13,0,1
533,20765197,23677157,13,0,1
534,20867230,23677155,13,0,1
535,20867230,23677156,13,0,1
536,20867230,23677157,13,0,1
537,21135057,23677155,13,0,0
538,21135057,23677156,13,0,1
539,21135057,23677157,13,0,1
539,3596828,20328638,13,4,0
540,21360254,23677155,13,0,1
541,21360254,23677156,13,0,1
542,21360254,23677157,13,0,1
543,21516361,23677155,13,0,1
543,3596828,19654783,13,4,1
544,21516361,23677156,13,0,1
545,3596828,9210368,13,4,1
545,21516361,23677157,13,0,0
546,21561478,23677155,13,0,1
546,3596828,20740028,13,4,1
547,21561478,23677156,13,0,1
548,21561478,23677157,13,0,1
549,21625693,23677155,13,0,1
549,3596828,5226973,13,4,1
550,21625693,23677156,13,0,1
551,21625693,23677157,13,0,1
552,21668962,23677155,13,0,1
555,21977662,23677155,13,0,1
556,21977662,23677156,13,0,1
557,21977662,23677157,13,0,1
558,22230122,23677155,13,0,1
559,22230122,23677156,13,0,1
559,238090,23677146,7,0,1
560,22230122,23677157,13,0,1
561,22485235,23677155,13,0,1
562,22485235,23677156,13,0,0
564,22513684,23677155,13,0,1
564,11374801,23677144,7,4,1
565,22513684,23677156,13,0,1
566,22513684,23677157,13,0,0
567,22513686,23677155,13,0,1
568,2451218,3596828,13,4,1
569,22513686,23677157,13,0,1
