,id1,id2,func,type,train
73,19972831,19076717,7,0,1
74,19972831,19654780,13,0,1
75,19972831,19119522,7,0,1
75,7079645,23677157,13,4,1
76,19972831,1313371,13,0,1
76,10496866,23677157,13,4,1
77,19972831,17621071,7,0,1
78,17630907,23677133,7,4,1
78,19972831,13088707,13,0,1
79,19972831,5226973,7,0,1
80,19972831,9883524,13,0,1
81,19972831,13088706,7,0,1
82,7839340,23677157,13,4,1
82,19972831,4490317,13,0,1
83,19972831,17467511,7,0,1
83,21273056,23677133,7,4,1
84,2423912,23677157,13,4,1
84,19972831,20328640,13,0,1
85,966813,23677157,13,4,1
85,19972831,7670209,7,0,1
86,19972831,17510245,13,0,1
87,19972831,7848932,7,0,1
88,19972831,17621072,13,0,1
89,19972831,3894025,7,0,1
90,9755674,23677226,44,4,1
90,19972831,1721214,13,0,1
91,19972831,13160464,7,0,1
92,19972831,8586224,13,0,1
93,19972831,22181822,7,0,1
94,19972831,2315719,13,0,1
95,19972831,3596847,7,0,1
96,19972831,7200130,13,0,1
97,19972831,5936119,7,0,1
98,19972831,17621070,13,0,1
99,19972831,6938966,7,0,1
100,19972831,13140215,13,0,1
101,19972831,5172908,7,0,1
102,19972831,17621068,13,0,1
103,19972831,16380022,7,0,1
104,17621071,23677157,13,4,1
104,19972831,17621073,13,0,1
105,19972831,23677157,7,0,1
105,13160464,23677157,13,4,1
106,22648484,23677157,13,4,1
106,19972831,10496866,13,0,1
107,590962,23677226,44,4,1
107,19972831,20740028,7,0,1
108,19972831,3596848,13,0,1
108,7436917,23677157,13,4,1
108,23355904,23677226,44,4,1
109,19972831,2451218,7,0,1
110,19972831,19654783,13,0,1
111,19972831,7839341,7,0,1
112,10067403,23677226,44,4,1
112,19972831,17621069,13,0,1
113,19972831,9210368,7,0,1
113,22137813,23677133,7,4,1
113,7839341,23677157,13,4,1
114,19972831,10868405,13,0,1
115,19972831,7436917,7,0,1
116,19972831,22961758,13,0,1
117,19972831,10258420,7,0,1
118,8586224,23677157,13,4,1
118,19972831,15064,13,0,1
119,19972831,2423912,7,0,1
120,13088707,23677157,13,4,1
120,3868943,23677226,44,4,1
120,19972831,23677155,13,0,1
121,19972831,19654782,7,0,1
121,4128381,23677226,44,4,1
122,19972831,22648484,13,0,1
123,15822137,23677135,7,4,1
123,19972831,966813,7,0,1
124,19972831,8533735,13,0,1
125,19972831,6088697,7,0,1
126,19972831,20328639,13,0,1
126,19076717,23677157,13,4,1
127,19972831,7357528,7,0,1
128,19972831,7839340,13,0,1
129,19654780,23677157,13,4,1
129,19972831,13912756,7,0,1
130,19972831,6138230,13,0,1
131,19972831,14009710,7,0,1
131,3596849,23677157,13,4,1
132,1920567,19654781,13,0,1
133,1920567,3596849,7,0,1
134,1920567,3596828,13,0,1
135,426940,23677226,44,4,1
135,1920567,11205237,7,0,1
136,1920567,20328638,13,0,1
137,7848932,23677157,13,4,1
137,1920567,7079645,7,0,1
138,1920567,23677156,13,0,1
138,14632238,23677135,7,4,1
139,1920567,19076717,7,0,1
139,9075137,23677135,7,4,1
140,1920567,19654780,13,0,1
141,1920567,19119522,7,0,1
142,15064,23677156,13,4,1
142,1920567,1313371,13,0,1
143,7079645,23677156,13,4,1
143,1920567,17621071,7,0,1
144,1920567,13088707,13,0,1
145,1920567,5226973,7,0,1
146,1920567,9883524,13,0,1
146,136941,23677226,44,4,1
146,7357528,23677156,13,4,1
147,1920567,13088706,7,0,1
148,1920567,4490317,13,0,1
149,1920567,17467511,7,0,1
150,1920567,20328640,13,0,1
151,1920567,7670209,7,0,1
152,1920567,17510245,13,0,1
153,1920567,7848932,7,0,1
154,1920567,17621072,13,0,1
155,1920567,3894025,7,0,1
156,1920567,1721214,13,0,1
157,1920567,13160464,7,0,1
158,1920567,8586224,13,0,1
158,5936119,23677156,13,4,1
159,5226973,23677156,13,4,1
159,1920567,22181822,7,0,1
160,1920567,2315719,13,0,1
161,1920567,3596847,7,0,1
162,1920567,7200130,13,0,1
163,13839383,23677226,44,4,1
163,1920567,5936119,7,0,1
164,1920567,17621070,13,0,1
164,11939522,23677135,7,4,1
165,1920567,6938966,7,0,1
166,1920567,13140215,13,0,1
166,9883524,23677156,13,4,1
167,1920567,5172908,7,0,1
168,1920567,17621068,13,0,1
169,1920567,16380022,7,0,1
170,1920567,17621073,13,0,1
171,4490317,23677156,13,4,1
171,1920567,23677157,7,0,1
172,1920567,10496866,13,0,1
173,1920567,20740028,7,0,1
174,1920567,3596848,13,0,1
175,1920567,2451218,7,0,1
175,10868405,23677156,13,4,1
176,1920567,19654783,13,0,1
177,1920567,7839341,7,0,1
178,1920567,17621069,13,0,1
179,1920567,9210368,7,0,1
180,1920567,10868405,13,0,1
181,1920567,7436917,7,0,1
182,1920567,22961758,13,0,1
183,1920567,10258420,7,0,1
183,7670209,23677156,13,4,1
184,6088697,17621070,13,4,1
184,1920567,15064,13,0,1
185,1920567,2423912,7,0,1
186,1920567,23677155,13,0,1
187,1920567,19654782,7,0,1
188,1920567,22648484,13,0,1
189,1920567,966813,7,0,1
189,6088697,7079645,13,4,1
190,1920567,8533735,13,0,1
191,1920567,6088697,7,0,1
192,1920567,20328639,13,0,1
193,1920567,7357528,7,0,1
194,1920567,7839340,13,0,1
195,1920567,13912756,7,0,1
196,1920567,6138230,13,0,1
197,1920567,14009710,7,0,1
198,21273052,19654781,13,0,1
199,21273052,3596849,7,0,1
200,21273052,3596828,13,0,1
201,21273052,11205237,7,0,1
202,21273052,20328638,13,0,1
203,21273052,7079645,7,0,1
204,21273052,23677156,13,0,1
205,21273052,19076717,7,0,1
205,6088697,20328640,13,4,1
206,2315719,6088697,13,4,1
206,21273052,19654780,13,0,1
207,21273052,19119522,7,0,1
208,21273052,1313371,13,0,1
209,21273052,17621071,7,0,1
210,21273052,13088707,13,0,1
211,21273052,5226973,7,0,1
212,21273052,9883524,13,0,1
213,21273052,13088706,7,0,1
214,21273052,4490317,13,0,1
215,21273052,17467511,7,0,1
216,21273052,20328640,13,0,1
217,21273052,7670209,7,0,1
217,22486940,23677135,7,4,1
218,21273052,17510245,13,0,1
219,6088697,17621071,13,4,1
219,21273052,7848932,7,0,1
220,21273052,17621072,13,0,1
221,21273052,3894025,7,0,1
221,21273055,23677135,7,4,1
222,21273052,1721214,13,0,1
223,21273052,13160464,7,0,1
224,21273052,8586224,13,0,1
225,21273052,22181822,7,0,1
226,21273052,2315719,13,0,1
227,21273052,3596847,7,0,1
228,21273052,7200130,13,0,1
228,6088697,7839341,13,4,1
229,1721214,6088697,13,4,1
229,21273052,5936119,7,0,1
230,21273052,17621070,13,0,1
231,21273052,6938966,7,0,1
232,21273052,13140215,13,0,1
233,21273052,5172908,7,0,1
233,6088697,8586224,13,4,1
234,21273052,17621068,13,0,1
235,21273052,16380022,7,0,1
236,21273052,17621073,13,0,1
237,21273052,23677157,7,0,1
238,21273052,10496866,13,0,1
239,21273052,20740028,7,0,1
240,21273052,3596848,13,0,1
241,21273052,2451218,7,0,1
242,6088697,6938966,13,4,1
242,21273052,19654783,13,0,1
243,21273052,7839341,7,0,1
244,21273052,17621069,13,0,1
245,21273052,9210368,7,0,1
245,6088697,19654780,13,4,1
246,21273052,10868405,13,0,1
247,21273052,7436917,7,0,1
248,21273052,22961758,13,0,1
249,21273052,10258420,7,0,1
250,21273052,15064,13,0,1
251,21273052,2423912,7,0,1
252,3894025,6088697,13,4,1
252,21273052,23677155,13,0,1
253,21273052,19654782,7,0,1
254,21273052,22648484,13,0,1
255,6088697,7848932,13,4,1
255,21273052,966813,7,0,1
256,21273052,8533735,13,0,1
257,21273052,6088697,7,0,1
258,21273052,20328639,13,0,1
259,21273052,7357528,7,0,1
260,21273052,7839340,13,0,1
261,21273052,13912756,7,0,1
261,7079645,17621070,13,4,1
262,10496866,17621070,13,4,1
262,21273052,6138230,13,0,1
263,21273052,14009710,7,0,1
264,7357528,17621070,13,4,1
264,3198237,19654781,13,0,1
265,3198237,3596849,7,0,1
266,3198237,3596828,13,0,1
267,3198237,11205237,7,0,1
268,521113,23677134,7,4,1
268,3198237,20328638,13,0,1
269,3198237,7079645,7,0,1
270,3198237,23677156,13,0,1
271,3198237,19076717,7,0,1
272,3198237,19654780,13,0,1
273,3198237,19119522,7,0,1
273,2315719,17621070,13,4,1
274,3198237,1313371,13,0,1
275,3198237,17621071,7,0,1
276,13912756,17621070,13,4,1
276,3198237,13088707,13,0,1
277,3198237,5226973,7,0,1
278,3198237,9883524,13,0,1
278,17510245,17621070,13,4,1
279,3198237,13088706,7,0,1
279,9210368,17621070,13,4,1
280,3198237,4490317,13,0,1
280,17621070,20740028,13,4,1
281,3198237,17467511,7,0,1
282,3198237,20328640,13,0,1
283,13160464,17621070,13,4,1
283,3198237,7670209,7,0,1
284,3198237,17510245,13,0,1
285,3198237,7848932,7,0,1
286,3198237,17621072,13,0,1
287,3198237,3894025,7,0,1
288,11205237,17621070,13,4,1
288,3198237,1721214,13,0,1
289,3198237,13160464,7,0,1
290,3198237,8586224,13,0,1
290,1721214,17621070,13,4,1
291,3198237,22181822,7,0,1
291,9883524,17621070,13,4,1
292,3198237,2315719,13,0,1
293,3198237,3596847,7,0,1
294,3198237,7200130,13,0,1
295,13088707,17621070,13,4,1
295,3198237,5936119,7,0,1
296,3198237,17621070,13,0,1
297,3198237,6938966,7,0,1
298,3198237,13140215,13,0,1
299,3198237,5172908,7,0,1
299,17583188,23677134,7,4,1
300,17621070,19076717,13,4,1
300,3198237,17621068,13,0,1
301,3198237,16380022,7,0,1
302,3198237,17621073,13,0,1
303,3198237,23677157,7,0,1
303,22307690,23677134,7,4,1
304,3198237,10496866,13,0,1
305,3198237,20740028,7,0,1
306,3198237,3596848,13,0,1
306,3338750,23677134,7,4,1
307,3198237,2451218,7,0,1
308,3198237,19654783,13,0,1
309,3198237,7839341,7,0,1
310,1313371,17621070,13,4,1
310,3198237,17621069,13,0,1
311,3198237,9210368,7,0,1
312,3198237,10868405,13,0,1
313,3198237,7436917,7,0,1
313,5172908,17621070,13,4,1
314,7848932,17621070,13,4,1
314,3198237,22961758,13,0,1
315,3198237,10258420,7,0,1
316,3198237,15064,13,0,1
317,3198237,2423912,7,0,1
318,3596828,19119522,13,4,1
318,3198237,23677155,13,0,1
319,3198237,19654782,7,0,1
320,3198237,22648484,13,0,1
320,7079645,19119522,13,4,1
321,3198237,966813,7,0,1
321,10496866,19119522,13,4,1
322,3198237,8533735,13,0,1
323,3198237,6088697,7,0,1
324,3198237,20328639,13,0,1
325,3198237,7357528,7,0,1
326,3198237,7839340,13,0,1
327,3198237,13912756,7,0,1
328,3198237,6138230,13,0,1
329,3198237,14009710,7,0,1
329,2423912,19119522,13,4,1
330,23677143,19654781,13,0,1
330,966813,19119522,13,4,1
331,23677143,3596849,7,0,1
332,23677143,3596828,13,0,1
332,6622146,23677134,7,4,1
332,13088706,19119522,13,4,1
333,23677143,11205237,7,0,1
334,23677143,20328638,13,0,1
334,10258420,19119522,13,4,1
335,23677143,7079645,7,0,1
336,23677143,23677156,13,0,1
336,19119522,20328640,13,4,1
337,23677143,19076717,7,0,1
338,23677143,19654780,13,0,1
339,23677143,19119522,7,0,1
340,13912756,19119522,13,4,1
340,23677143,1313371,13,0,1
341,23677143,17621071,7,0,1
342,23677143,13088707,13,0,1
343,23677143,5226973,7,0,1
343,17510245,19119522,13,4,1
344,23677143,9883524,13,0,1
344,9210368,19119522,13,4,1
345,23677143,13088706,7,0,1
346,23677143,4490317,13,0,1
347,23677143,17467511,7,0,1
348,5226973,19119522,13,4,1
348,23677143,20328640,13,0,1
349,23677143,7670209,7,0,1
350,23677143,17510245,13,0,1
351,23677143,7848932,7,0,1
352,19119522,22648484,13,4,1
352,23677143,17621072,13,0,1
353,21273055,23677134,7,4,1
353,23677143,3894025,7,0,1
354,23677143,1721214,13,0,1
354,7436917,19119522,13,4,1
355,23677143,13160464,7,0,1
356,426940,531920,44,4,1
356,23677143,8586224,13,0,1
357,23677143,22181822,7,0,1
357,11205237,19119522,13,4,1
358,23677143,2315719,13,0,1
359,23677143,3596847,7,0,1
359,7839341,19119522,13,4,1
360,1721214,19119522,13,4,1
360,23677143,7200130,13,0,1
361,23677143,5936119,7,0,1
361,11371499,23677134,7,4,1
362,23677143,17621070,13,0,1
363,23677143,6938966,7,0,1
364,426940,590962,44,4,1
364,23677143,13140215,13,0,1
365,23677143,5172908,7,0,1
366,23677143,17621068,13,0,1
367,23677143,16380022,7,0,1
368,23677143,17621073,13,0,1
369,23677143,23677157,7,0,1
369,426940,23355904,44,4,1
369,8533735,19119522,13,4,1
370,23677143,10496866,13,0,1
371,23677143,20740028,7,0,1
372,23677143,3596848,13,0,1
373,23677143,2451218,7,0,1
374,23677143,19654783,13,0,1
374,6938966,19119522,13,4,1
375,23677143,7839341,7,0,1
376,23677143,17621069,13,0,1
376,426940,8972522,44,4,1
377,23677143,9210368,7,0,1
378,23677143,10868405,13,0,1
378,10868405,19119522,13,4,1
379,23677143,7436917,7,0,1
380,23677143,22961758,13,0,1
381,23677143,10258420,7,0,1
382,23677143,15064,13,0,1
383,23677143,2423912,7,0,1
384,23677143,23677155,13,0,1
385,13295656,23677145,7,4,1
385,23677143,19654782,7,0,1
386,23677143,22648484,13,0,1
386,5172908,19119522,13,4,1
387,7848932,19119522,13,4,1
387,23677143,966813,7,0,1
388,23677143,8533735,13,0,1
389,23677143,6088697,7,0,1
389,426940,10067403,44,4,1
390,23677143,20328639,13,0,1
391,23677143,7357528,7,0,1
392,23677143,7839340,13,0,1
393,23677143,13912756,7,0,1
394,23677143,6138230,13,0,1
395,23677143,14009710,7,0,1
396,22326008,19654781,13,0,1
396,11261440,23677145,7,4,1
396,426940,22060129,44,4,1
397,22326008,3596849,7,0,1
398,22326008,3596828,13,0,1
399,22326008,11205237,7,0,1
400,136941,426940,44,4,1
400,22326008,20328638,13,0,1
401,22326008,7079645,7,0,1
402,22326008,23677156,13,0,1
403,22326008,19076717,7,0,1
404,22326008,19654780,13,0,1
405,22326008,19119522,7,0,1
406,22326008,1313371,13,0,1
407,426940,4758170,44,4,1
407,22326008,17621071,7,0,1
408,22326008,13088707,13,0,1
409,22326008,5226973,7,0,1
410,22326008,9883524,13,0,1
411,22326008,13088706,7,0,1
412,22326008,4490317,13,0,1
413,22326008,17467511,7,0,1
413,17630906,23677145,7,4,1
414,22326008,20328640,13,0,1
415,22326008,7670209,7,0,1
416,22326008,17510245,13,0,1
417,22326008,7848932,7,0,1
418,22326008,17621072,13,0,1
419,22326008,3894025,7,0,1
420,22326008,1721214,13,0,1
421,22326008,13160464,7,0,1
422,22326008,8586224,13,0,1
423,22326008,22181822,7,0,1
424,22326008,2315719,13,0,1
425,22326008,3596847,7,0,1
426,22326008,7200130,13,0,1
427,22326008,5936119,7,0,1
428,22326008,17621070,13,0,1
428,426940,3868943,44,4,1
429,22326008,6938966,7,0,1
430,22326008,13140215,13,0,1
431,22326008,5172908,7,0,1
432,22326008,17621068,13,0,1
433,22326008,16380022,7,0,1
433,426940,4128381,44,4,1
434,22326008,17621073,13,0,1
435,22326008,23677157,7,0,1
436,22326008,10496866,13,0,1
437,22326008,20740028,7,0,1
438,22326008,3596848,13,0,1
439,22326008,2451218,7,0,1
440,22326008,19654783,13,0,1
441,22326008,7839341,7,0,1
442,22326008,17621069,13,0,1
443,22326008,9210368,7,0,1
444,22326008,10868405,13,0,1
445,22326008,7436917,7,0,1
445,426940,16152856,44,4,1
446,22326008,22961758,13,0,1
447,426940,4328782,44,4,1
447,22326008,10258420,7,0,1
448,22326008,15064,13,0,1
449,22326008,2423912,7,0,1
450,22326008,23677155,13,0,1
451,426940,9755674,44,4,1
451,22326008,19654782,7,0,1
452,22326008,22648484,13,0,1
453,22326008,966813,7,0,1
453,4860089,23677145,7,4,1
454,22326008,8533735,13,0,1
455,22326008,6088697,7,0,1
456,22326008,20328639,13,0,1
457,426940,950313,44,4,1
457,22326008,7357528,7,0,1
458,22326008,7839340,13,0,1
459,22326008,13912756,7,0,1
460,22326008,6138230,13,0,1
461,22326008,14009710,7,0,1
462,21273057,19654781,13,0,1
462,7079645,17621072,13,4,1
463,10496866,17621072,13,4,1
463,21273057,3596849,7,0,1
464,21273057,3596828,13,0,1
465,21273057,11205237,7,0,1
466,21273057,20328638,13,0,1
466,7357528,17621072,13,4,1
467,21273057,7079645,7,0,1
468,21273057,23677156,13,0,1
469,21273057,19076717,7,0,1
470,21273057,19654780,13,0,1
471,21273057,19119522,7,0,1
472,21273057,1313371,13,0,1
473,21273057,17621071,7,0,1
474,21273057,13088707,13,0,1
475,21273057,5226973,7,0,1
476,21273057,9883524,13,0,1
476,17621072,20328638,13,4,1
477,21273057,13088706,7,0,1
478,21273057,4490317,13,0,1
479,17621072,19654781,13,4,1
479,21273057,17467511,7,0,1
479,10174628,23677145,7,4,1
480,21273057,20328640,13,0,1
481,17510245,17621072,13,4,1
481,21273057,7670209,7,0,1
482,21273057,17510245,13,0,1
483,21273057,7848932,7,0,1
484,21273057,17621072,13,0,1
484,5936119,17621072,13,4,1
484,426940,13839383,44,4,1
485,5226973,17621072,13,4,1
485,21273057,3894025,7,0,1
486,10598170,23677145,7,4,1
486,21273057,1721214,13,0,1
487,21273057,13160464,7,0,1
488,21273057,8586224,13,0,1
489,21273057,22181822,7,0,1
490,21273057,2315719,13,0,1
491,21273057,3596847,7,0,1
491,2086684,23677145,7,4,1
492,21273057,7200130,13,0,1
493,21273057,5936119,7,0,1
494,21273057,17621070,13,0,1
495,21273057,6938966,7,0,1
496,21273057,13140215,13,0,1
497,21273057,5172908,7,0,1
498,21273057,17621068,13,0,1
499,21273057,16380022,7,0,1
500,22486941,426940,44,0,1
501,22486941,23677226,7,0,1
502,22486941,13839383,44,0,1
503,22486941,136941,7,0,1
503,4490317,17621072,13,4,1
504,17621072,19076717,13,4,1
504,22486941,950313,44,0,1
505,22486941,10067403,7,0,1
506,17621072,20328639,13,4,1
506,22486941,4758170,44,0,1
507,22486941,590962,7,0,1
508,22486941,4328782,44,0,1
509,22486941,16152856,7,0,1
510,22486941,4128381,44,0,1
510,3596849,17621072,13,4,1
511,22486941,8972522,7,0,1
512,17621072,22181822,13,4,1
512,22486941,9755674,44,0,1
513,8359775,23677144,7,4,1
513,22486941,22060129,7,0,1
514,22486941,103828,44,0,1
515,22486941,531920,7,0,1
516,22486941,23355904,44,0,1
517,22486941,3868943,7,0,1
518,19972831,426940,44,0,1
519,19972831,23677226,7,0,1
520,19972831,13839383,44,0,1
521,19972831,136941,7,0,1
522,19972831,950313,44,0,1
523,19972831,10067403,7,0,1
524,19972831,4758170,44,0,1
525,19972831,590962,7,0,1
526,19972831,4328782,44,0,1
527,19972831,16152856,7,0,1
528,19972831,4128381,44,0,1
529,19972831,8972522,7,0,1
530,19972831,9755674,44,0,1
531,19972831,22060129,7,0,1
532,19972831,103828,44,0,1
533,19972831,531920,7,0,1
534,19972831,23355904,44,0,1
535,19972831,3868943,7,0,1
536,1920567,426940,44,0,1
537,1920567,23677226,7,0,1
538,1920567,13839383,44,0,1
539,3596828,20328638,13,4,1
539,1920567,136941,7,0,1
540,1920567,950313,44,0,1
541,1920567,10067403,7,0,1
542,1920567,4758170,44,0,1
543,1920567,590962,7,0,1
543,3596828,19654783,13,4,1
544,1920567,4328782,44,0,1
545,1920567,16152856,7,0,1
545,3596828,9210368,13,4,1
546,3596828,20740028,13,4,1
546,1920567,4128381,44,0,1
547,1920567,8972522,7,0,1
548,1920567,9755674,44,0,1
549,3596828,5226973,13,4,1
549,1920567,22060129,7,0,1
550,1920567,103828,44,0,1
551,1920567,531920,7,0,1
552,1920567,23355904,44,0,1
553,1920567,3868943,7,0,1
554,21273052,426940,44,0,1
555,21273052,23677226,7,0,1
556,21273052,13839383,44,0,1
557,21273052,136941,7,0,1
558,21273052,950313,44,0,1
559,21273052,10067403,7,0,1
560,21273052,4758170,44,0,1
561,21273052,590962,7,0,1
562,21273052,4328782,44,0,1
563,21273052,16152856,7,0,1
564,11374801,23677144,7,4,1
564,21273052,4128381,44,0,1
565,21273052,8972522,7,0,1
566,21273052,9755674,44,0,1
567,21273052,22060129,7,0,1
568,21273052,103828,44,0,1
568,2451218,3596828,13,4,1
569,21273052,531920,7,0,1
570,3596828,8533735,13,4,1
570,21273052,23355904,44,0,1
571,17583188,23677144,7,4,1
571,21273052,3868943,7,0,1
572,81754,23677144,7,4,1
572,3198237,426940,44,0,1
573,3198237,23677226,7,0,1
573,3596828,4490317,13,4,1
574,3596828,19076717,13,4,1
574,3198237,13839383,44,0,1
575,3198237,136941,7,0,1
576,3198237,950313,44,0,1
576,3596828,20328639,13,4,1
577,3198237,10067403,7,0,1
578,3198237,4758170,44,0,1
579,3198237,590962,7,0,1
580,3198237,4328782,44,0,1
581,3198237,16152856,7,0,1
581,23089693,23677144,7,4,1
582,3198237,4128381,44,0,1
583,3198237,8972522,7,0,1
583,3596828,19654782,13,4,1
584,3198237,9755674,44,0,1
585,3198237,22060129,7,0,1
586,3198237,103828,44,0,1
587,3198237,531920,7,0,1
587,3596828,5172908,13,4,1
588,3198237,23355904,44,0,1
589,3198237,3868943,7,0,1
590,15064,7079645,13,4,1
590,23677143,426940,44,0,1
591,15064,10496866,13,4,1
591,23677143,23677226,7,0,1
592,23677143,13839383,44,0,1
593,23677143,136941,7,0,1
594,23677143,950313,44,0,1
595,23677143,10067403,7,0,1
596,23677143,4758170,44,0,1
597,23677143,590962,7,0,1
598,23677143,4328782,44,0,1
599,23677143,16152856,7,0,1
600,23677143,4128381,44,0,1
601,23677143,8972522,7,0,1
602,23677143,9755674,44,0,1
603,23677143,22060129,7,0,1
604,5405559,23677144,7,4,1
604,23677143,103828,44,0,1
605,23677143,531920,7,0,1
606,23677143,23355904,44,0,1
606,15064,20328640,13,4,1
607,15064,2315719,13,4,1
607,23677143,3868943,7,0,1
608,22326008,426940,44,0,1
609,15064,3596848,13,4,1
609,22326008,23677226,7,0,1
610,22326008,13839383,44,0,1
610,15064,13912756,13,4,1
611,22326008,136941,7,0,1
612,22326008,950313,44,0,1
613,22326008,10067403,7,0,1
614,22326008,4758170,44,0,1
615,22326008,590962,7,0,1
616,22326008,4328782,44,0,1
617,22326008,16152856,7,0,1
618,22326008,4128381,44,0,1
619,22326008,8972522,7,0,1
620,22326008,9755674,44,0,1
621,22326008,22060129,7,0,1
622,22326008,103828,44,0,1
622,15064,22648484,13,4,1
623,22326008,531920,7,0,1
623,22486940,23677144,7,4,1
624,22326008,23355904,44,0,1
625,11892804,23677144,7,4,1
625,22326008,3868943,7,0,1
626,21273057,426940,44,0,1
627,15064,11205237,13,4,1
627,21273057,23677226,7,0,1
628,21273057,13839383,44,0,1
629,21273057,136941,7,0,1
630,21273057,950313,44,0,1
630,15064,1721214,13,4,1
631,21273057,10067403,7,0,1
632,21273057,4758170,44,0,1
632,14132423,23677144,7,4,1
633,21273057,590962,7,0,1
633,21273059,23677144,7,4,1
634,21273057,4328782,44,0,1
635,21273057,16152856,7,0,1
635,22137813,23677144,7,4,1
636,21273057,4128381,44,0,1
637,15064,2451218,13,4,1
637,21273057,8972522,7,0,1
638,21273057,9755674,44,0,1
639,21273057,22060129,7,0,1
640,15064,7200130,13,4,1
640,21273057,103828,44,0,1
641,21273057,531920,7,0,1
642,15064,19076717,13,4,1
642,6963063,23677144,7,4,1
642,21273057,23355904,44,0,1
643,21273057,3868943,7,0,1
644,521113,426940,44,0,1
645,521113,23677226,7,0,1
646,521113,13839383,44,0,1
647,521113,136941,7,0,1
648,521113,950313,44,0,1
648,15064,3596849,13,4,1
649,521113,10067403,7,0,1
650,521113,4758170,44,0,1
651,15064,3894025,13,4,1
651,521113,590962,7,0,1
652,521113,4328782,44,0,1
653,521113,16152856,7,0,1
653,15064,5172908,13,4,1
654,521113,4128381,44,0,1
654,12561704,23677146,7,4,1
655,521113,8972522,7,0,1
656,521113,9755674,44,0,1
657,521113,22060129,7,0,1
658,8359775,23677146,7,4,1
658,521113,103828,44,0,1
659,521113,531920,7,0,1
660,521113,23355904,44,0,1
661,521113,3868943,7,0,1
662,120983,426940,44,0,1
663,120983,23677226,7,0,1
664,120983,13839383,44,0,1
665,120983,136941,7,0,1
665,966813,7079645,13,4,1
666,7079645,22961758,13,4,1
666,120983,950313,44,0,1
667,120983,10067403,7,0,1
667,7079645,13088706,13,4,1
668,120983,4758170,44,0,1
669,120983,590962,7,0,1
670,120983,4328782,44,0,1
671,120983,16152856,7,0,1
672,120983,4128381,44,0,1
673,120983,8972522,7,0,1
674,120983,9755674,44,0,1
675,120983,22060129,7,0,1
676,120983,103828,44,0,1
676,7079645,19654781,13,4,1
677,120983,531920,7,0,1
